date,Account,daily_pnl,num_trades,wins,avg_trade_size,total_volume,long_count,win_rate,long_ratio,fg_score,sentiment,sentiment_group
2024-02-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-33.45419400000003,72,14,10697.198055555556,770198.26,33,0.19444444444444445,0.4583333333333333,60,Greed,Greed
2024-02-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-199.74345800000003,1073,175,7365.325768872321,7902994.55,511,0.16309412861137,0.4762348555452004,64,Greed,Greed
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,241.24212,15,2,450.582,6758.73,7,0.13333333333333333,0.4666666666666667,62,Greed,Greed
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,770.756024,10,4,2605.112,26051.12,2,0.4,0.2,66,Greed,Greed
2024-02-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,983.443176,34,7,6244.465294117647,212311.82,23,0.20588235294117646,0.6764705882352942,71,Greed,Greed
2024-02-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,913.8817869999998,16,6,14202.981249999999,227247.69999999998,11,0.375,0.6875,70,Greed,Greed
2024-02-13,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,559.44389,14,14,142.85642857142858,1999.99,0,1.0,0.0,79,Extreme Greed,Greed
2024-02-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3639.3031690000003,88,79,2478.8488636363636,218138.7,27,0.8977272727272727,0.3068181818181818,74,Greed,Greed
2024-02-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,177.661336,22,3,4661.422727272728,102551.3,7,0.13636363636363635,0.3181818181818182,74,Greed,Greed
2024-02-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1024.70728,52,49,1469.9592307692308,76437.88,49,0.9423076923076923,0.9423076923076923,72,Greed,Greed
2024-02-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,816.0903969999999,11,8,9886.378181818181,108750.16,3,0.7272727272727273,0.2727272727272727,72,Greed,Greed
2024-02-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5458.083034,169,145,2733.652366863905,461987.25,104,0.8579881656804734,0.6153846153846154,72,Greed,Greed
2024-02-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,12,0,8396.053333333333,100752.64,10,0.0,0.8333333333333334,72,Greed,Greed
2024-02-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1642.699858,62,52,3201.3845161290324,198485.84,25,0.8387096774193549,0.4032258064516129,76,Extreme Greed,Greed
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,30,7,6791.962666666667,203758.88,25,0.23333333333333334,0.8333333333333334,76,Extreme Greed,Greed
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,455.8302099999999,96,60,1630.4232291666667,156520.63,38,0.625,0.3958333333333333,72,Greed,Greed
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4182.117021,91,73,2436.2316483516483,221697.08,38,0.8021978021978022,0.4175824175824176,75,Extreme Greed,Greed
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,6,1,8333.848333333333,50003.09,3,0.16666666666666666,0.5,75,Extreme Greed,Greed
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,35,27,3363.1262857142856,117709.42,13,0.7714285714285715,0.37142857142857144,72,Greed,Greed
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,4,4,427.575,1710.3,0,1.0,0.0,72,Greed,Greed
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.7985700000002,21,15,4668.662857142857,98041.92,6,0.7142857142857143,0.2857142857142857,78,Extreme Greed,Greed
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,1,0,10005.6,10005.6,1,0.0,1.0,78,Extreme Greed,Greed
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3894.1050699999996,85,40,4280.077411764706,363806.58,32,0.47058823529411764,0.3764705882352941,74,Greed,Greed
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,2500.32,5000.64,2,0.0,1.0,74,Greed,Greed
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1389.281606,139,133,787.9606474820143,109526.53,127,0.9568345323741008,0.9136690647482014,76,Extreme Greed,Greed
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,5,0,896.0260000000001,4480.13,2,0.0,0.4,74,Greed,Greed
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,37,34,5180.734324324325,191687.17,27,0.918918918918919,0.7297297297297297,72,Greed,Greed
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,249.98499999999999,499.96999999999997,0,0.0,0.0,72,Greed,Greed
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,55,19,3759.7450909090912,206785.98,33,0.34545454545454546,0.6,79,Extreme Greed,Greed
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,8,7,322.04,2576.32,0,0.875,0.0,79,Extreme Greed,Greed
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,45,39,3802.380666666667,171107.13,31,0.8666666666666667,0.6888888888888889,82,Extreme Greed,Greed
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8493.192736,109,97,3402.198532110092,370839.64,60,0.8899082568807339,0.5504587155963303,80,Extreme Greed,Greed
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,7,3,3546.727142857143,24827.09,0,0.42857142857142855,0.0,80,Extreme Greed,Greed
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8209.226291,134,125,3522.7267164179107,472045.38,36,0.9328358208955224,0.26865671641791045,80,Extreme Greed,Greed
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,24,21,2510.5745833333335,60253.79,21,0.875,0.875,80,Extreme Greed,Greed
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,7,0,420.5385714285714,2943.77,7,0.0,1.0,80,Extreme Greed,Greed
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,79,54,4946.1478481012655,390745.68,36,0.6835443037974683,0.45569620253164556,83,Extreme Greed,Greed
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26059.358096,283,249,5497.673816254417,1555841.69,159,0.8798586572438163,0.5618374558303887,82,Extreme Greed,Greed
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,13,13,290.5161538461538,3776.71,0,1.0,0.0,82,Extreme Greed,Greed
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19631.520677,178,161,4702.600393258427,837062.87,54,0.9044943820224719,0.30337078651685395,90,Extreme Greed,Greed
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6713.2080989999995,80,70,4066.3625,325309.0,48,0.875,0.6,75,Extreme Greed,Greed
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.178116,66,58,2781.26803030303,183563.69,18,0.8787878787878788,0.2727272727272727,81,Extreme Greed,Greed
